sampMatCode.base.building.DESC,organic,mean,sum,count
Chinese cabbages,0,0.00021939981960459278,18,82042
Chinese cabbages,1,0.0,0,1299
Chinese cabbages and similar-,0,0.0,0,5389
Chinese chives sprouts,0,0.005154639175257732,2,388
Chinese jujubes,0,0.0,0,170
Chinese persimmons,0,0.0,0,3164
Chinese wolfberries,0,0.0,0,2459
Chinese wolfberries,1,0.0,0,1052
Chinottos,0,7.051937519833575e-05,2,28361
Chironjas,0,0.0,0,5437
Chironjas,1,0.0,0,871
Chives,0,0.00033651621587515247,8,23773
Chives,1,0.0,0,1891
Chives and similar-,0,0.002103049421661409,2,951
Cider,0,0.0,0,871
Cider,1,0.0,0,2120
Cinnamon bark,0,0.0006843065693430657,3,4384
Cinnamon bark,1,0.0,0,275
Cinnamon bark and similar-,0,0.0,0,310
Citrons,0,0.0,0,1376
Citrons,1,0.0,0,515
Citrus fruit peel,0,0.0,0,301
Citrus fruits,0,0.000267022696929239,1,3745
Clementines,0,5.1468790612092595e-05,4,77717
Clementines,1,0.0,0,11158
Clotted cream,0,0.0,0,279
Cloves buds,0,0.001277139208173691,1,783
Cloves buds,1,0.0,0,308
Cloves buds and similar-,0,0.0,0,3
Cocoa beans (fermented or dried),0,0.00042753313381787086,4,9356
Cocoa beans (fermented or dried),1,0.00027085590465872155,1,3692
Cocoa beans and similar-,0,0.0,0,683
Cocoa beans and similar-,1,0.0,0,254
Cocoa ingredients (RPC derivatives),0,0.0,0,108
Cocoa mass,1,0.0,0,888
Cocoa powder,0,0.0012279983626688497,3,2443
Cocoa powder,1,0.0,0,333
Coconut milk (cocos nucifera) liquid,0,0.0,0,1310
Coconut oil/fat,0,0.0,0,6178
Coconut water,1,0.0,0,616
Coconuts,0,0.0,0,2263
Coconuts,1,0.0,0,1564
Coconuts and similar-,0,0.0,0,840
Coffee beans and similar-,0,0.0003677822728944465,1,2719
"Coffee beans, green",0,0.00039643211100099106,2,5045
"Coffee beans, green",1,0.00014394702749388226,1,6947
"Coffee beans, roasted",0,0.0,0,12821
"Coffee beans, roasted",1,0.0,0,2793
"Coffee beans, roasted and decaffeinated",1,0.0,0,616
"Coffee ground, roasted",1,0.0,0,3817
Coffee ingredients (RPC derivatives),0,0.0006968641114982578,3,4305
Coloured carrots varieties,0,0.002320185614849188,1,431
Comb honey,0,0.0,0,423
Common banana,0,0.00013524784166986002,18,133089
Common banana,1,0.00014417878168929472,6,41615
Common banana - acuminata cultivars,0,0.00048426150121065375,2,4130
Common banana - paradisiaca cultivars,0,0.0,0,705
Common jasmine infusion flowers,0,0.0007733952049497294,1,1293
Common millet and similar-,0,0.0005630630630630631,1,1776
Common millet and similar-,1,0.0,0,924
Common millet grain,0,0.0001487099412595732,2,13449
Common millet grain,1,0.0,0,7779
Common mushrooms,0,4.829459704195593e-05,4,82825
Common mushrooms,1,0.0,0,12960
Common peaches,0,0.0002519388336327389,46,182584
Common peaches,1,0.0,0,4036
Common vervain infusion leaves,1,0.0,0,275
Common walnut,0,0.0,0,4
Common wheat grain,0,0.00012209887974277836,12,98281
Common wheat grain,1,9.912767644726408e-05,1,10088
Condensed milk (sometimes with added sugars),0,0.0,0,1
Cooked cured (or seasoned) poultry meat,0,0.0,0,9
Cooked pork ham,0,0.0,0,1
Coriander leaves,0,0.001682049512636936,39,23186
Coriander leaves,1,0.0,0,1596
Coriander seed,0,0.0,0,1511
Cottage cheese,0,0.0,0,527
Cotton seeds,0,0.0,0,724
Courgette (edible flowers),0,0.0,0,145
Courgettes,0,0.0001464973808044038,33,225260
Courgettes,1,3.0365601846228593e-05,1,32932
Courgettes and similar-,0,0.00017995321216483713,2,11114
Courgettes and similar-,1,0.0,0,1695
Cow milk,0,0.00042370769154080054,17,40122
Cow milk,1,0.0,0,60
"Cow milk, natural high fat",0,0.0,0,12654
"Cow milk, natural high fat",1,0.0,0,1090
"Cow milk, semi skimmed (half fat)",0,0.0,0,1165
"Cow milk, semi skimmed (half fat)",1,0.0,0,187
"Cow milk, skimmed (low fat)",0,0.0,0,314
"Cow milk, whole",0,0.0,0,19870
"Cow milk, whole",1,0.0,0,5330
"Cow, ox or bull fresh meat",0,0.000751597143930853,4,5322
